TeamExp,ManagerExp,Transactions,Entities,PointsNonAdjust,Adjustment,LanguageLevel,Effort
3,3,220,51,323,0.91,1,7172
3,7,296,24,289,0.89,1,5614
2,7,181,89,417,0.95,3,6162
6,9,83,40,193,1.0,1,4003
5,9,252,33,285,1.02,2,4757
7,7,215,25,256,1.09,2,4479
3,7,230,66,398,0.94,1,8872
2,8,196,57,312,1.23,1,8819
8,5,312,66,437,1.02,1,8555
6,8,116,41,229,1.18,1,5466
9,6,218,48,318,1.23,1,7117
5,9,96,60,261,0.97,1,4913
7,4,335,70,487,0.91,1,9289
5,8,214,74,410,1.03,1,7754
4,7,332,31,341,1.24,1,8252
4,9,296,28,324,1.02,2,5478
6,7,85,34,184,1.19,3,3500
7,3,230,75,399,1.05,3,5990
6,7,171,84,374,1.24,2,7420
5,4,271,40,350,1.28,3,6115
2,7,245,82,423,0.9,2,7696
6,4,109,50,253,1.28,1,6842
9,9,115,88,344,0.91,2,4577
4,5,350,74,495,1.27,3,8659
5,8,239,71,407,1.05,3,5627
9,3,206,48,292,1.0,3,3869
5,7,192,20,197,1.17,1,4504
5,3,96,62,246,1.08,2,5066
9,4,147,80,352,1.2,2,6619
5,3,129,75,330,1.04,2,6331
2,8,130,27,190,1.18,1,4812
5,4,177,88,413,0.91,1,9047
6,6,207,29,260,1.21,3,4303
3,3,87,31,157,0.92,2,3500
9,4,285,27,299,1.02,2,5130
6,9,312,56,424,1.16,3,5934
9,4,177,57,305,1.29,3,5138
2,8,240,27,256,1.11,3,3781
4,3,340,30,353,0.88,1,6710
5,6,141,51,282,1.12,3,4501
3,6,347,60,453,0.94,3,6604
7,4,215,70,370,1.15,2,7406
9,5,117,21,165,1.13,3,3500
3,3,189,84,399,0.91,2,7096
3,4,269,56,373,1.05,3,5646
6,7,350,21,358,0.98,3,4535
3,4,215,34,260,1.18,1,6999
6,5,187,63,331,1.16,2,7058
9,5,106,31,197,1.04,2,3500
2,3,250,36,328,1.29,1,9447
9,7,298,21,288,0.88,3,3500
4,7,98,67,296,1.1,2,5683
4,3,237,66,369,1.25,1,10311
5,8,132,65,315,1.25,2,6866
4,4,163,42,262,0.86,3,3584
7,9,290,51,382,0.92,3,4580
3,6,99,80,313,0.94,2,5270
7,5,196,48,281,1.15,2,5383
7,5,115,55,259,1.14,2,5078
7,3,139,53,261,1.11,2,5346
2,3,302,64,433,1.05,3,7243
3,6,177,52,279,1.17,1,7256
5,5,300,28,325,1.13,3,4995
3,8,233,84,437,1.15,2,8474
8,8,231,90,442,0.94,3,5325
8,8,169,58,314,1.1,1,6814
6,5,187,75,391,1.12,2,7618
9,6,306,47,397,1.06,3,5488
4,8,123,56,278,1.15,3,4537
7,3,200,59,331,1.21,1,8184
2,3,205,80,423,1.23,1,12969
9,6,179,69,361,1.03,1,7459
2,9,134,74,323,0.93,3,4329
9,3,207,35,279,0.91,2,4509
7,9,306,84,503,1.22,3,6640
9,4,323,77,485,1.19,3,7766
6,9,346,82,542,0.96,2,8394
3,8,226,50,327,1.0,3,4621
3,4,157,49,276,1.16,3,5007
5,3,292,72,450,1.09,2,8269
2,4,295,69,460,1.28,1,13984
8,6,83,65,260,1.19,2,5055
5,6,192,54,322,1.07,2,6526
7,8,287,41,361,1.26,3,5637
2,6,93,30,171,0.91,2,3500
4,3,213,68,374,0.95,2,6678
7,9,274,55,390,0.96,1,7313
9,3,106,64,270,1.14,3,4123
2,9,95,51,221,1.23,3,3821
4,4,144,80,342,1.1,1,8756
9,8,211,67,359,1.12,3,4812
3,9,163,59,293,1.11,2,5985
8,6,181,29,248,1.16,3,3564
5,3,234,35,308,1.2,2,6805
8,8,269,28,311,1.14,1,6422
8,9,330,33,370,1.28,3,5291
9,8,158,75,342,1.18,3,4878
6,7,327,79,505,1.22,3,8369
6,5,205,31,254,1.25,1,6653
